2012-13;24;GSW;NBA;PG;78;78;38.2;8.0;17.8;.451;3.5;7.7;.453;4.5;10.1;.449;.549;3.4;3.7;.900;0.8;3.3;4.0;6.9;1.6;0.2;3.1;2.5;22.9
2013-14;25;GSW;NBA;PG;78;78;36.5;8.4;17.7;.471;3.3;7.9;.424;5.0;9.8;.509;.566;3.9;4.5;.885;0.6;3.7;4.3;8.5;1.6;0.2;3.8;2.5;24.0
2014-15;26;GSW;NBA;PG;80;80;32.7;8.2;16.8;.487;3.6;8.1;.443;4.6;8.7;.528;.594;3.9;4.2;.914;0.7;3.6;4.3;7.7;2.0;0.2;3.1;2.0;23.8
2015-16;27;GSW;NBA;PG;79;79;34.2;10.2;20.2;.504;5.1;11.2;.454;5.1;9.0;.566;.630;4.6;5.1;.908;0.9;4.6;5.4;6.7;2.1;0.2;3.3;2.0;30.1
2016-17;28;GSW;NBA;PG;79;79;33.4;8.5;18.3;.468;4.1;10.0;.411;4.4;8.3;.537;.580;4.1;4.6;.898;0.8;3.7;4.5;6.6;1.8;0.2;3.0;2.3;25.3
2017-18;29;GSW;NBA;PG;51;51;32.0;8.4;16.9;.495;4.2;9.8;.423;4.2;7.1;.595;.618;5.5;5.9;.921;0.7;4.4;5.1;6.1;1.6;0.2;3.0;2.2;26.4
2018-19;30;GSW;NBA;PG;69;69;33.8;9.2;19.4;.472;5.1;11.7;.437;4.0;7.7;.525;.604;3.8;4.2;.916;0.7;4.7;5.3;5.2;1.3;0.4;2.8;2.4;27.3
2019-20;31;GSW;NBA;PG;5;5;27.8;6.6;16.4;.402;2.4;9.8;.245;4.2;6.6;.636;.476;5.2;5.2;1.000;0.8;4.4;5.2;6.6;1.0;0.4;3.2;2.2;20.8
2018-19;21;GSW;NBA;SG;30;1;6.8;0.6;1.8;.340;0.1;0.5;.267;0.5;1.3;.368;.377;0.0;0.0;.000;0.2;0.6;0.8;0.8;0.2;0.1;0.4;0.9;1.3
2019-20;22;TOT;NBA;SG;29;1;14.4;1.6;4.6;.336;0.4;1.3;.333;1.1;3.3;.337;.384;0.9;1.0;.862;0.3;1.1;1.4;1.1;0.4;0.4;0.9;1.4;4.4
2019-20;22;GSW;NBA;SG;27;1;15.3;1.7;4.9;.338;0.5;1.4;.342;1.2;3.5;.337;.387;0.9;1.1;.862;0.3;1.2;1.5;1.1;0.4;0.4;0.9;1.5;4.7
2019-20;22;MIN;NBA;SG;2;0;2.0;0.0;0.5;.000;0.0;0.5;.000;0.0;0.0;;.000;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2012-13;22;GSW;NBA;SF;79;1;13.4;1.1;3.3;.327;0.2;0.8;.209;0.9;2.4;.368;.354;0.6;0.7;.818;0.7;2.6;3.3;0.7;0.5;0.3;0.6;2.0;2.9
2013-14;23;GSW;NBA;SF;82;12;21.9;2.3;5.6;.407;0.7;2.0;.333;1.6;3.6;.449;.467;1.0;1.5;.667;1.0;3.9;5.0;1.9;1.2;0.9;1.1;2.8;6.2
2014-15;24;GSW;NBA;PF;79;79;31.5;4.3;9.7;.443;1.4;4.2;.337;2.9;5.5;.523;.516;1.7;2.5;.660;1.4;6.7;8.2;3.7;1.6;1.3;1.7;3.2;11.7
